	RM212	RM220	RM297	RM495	RM1282	RM263	RM521	RM7144
Naveen	150	120	180	180	160	180	250	100
Lalat	150	120	150	160	160	180	250	120
IR64	150	120	150	180	180	180	250	120
MTU1010	140	120	150	160	160	180	250	100
Swarna	140	120	180	180	180	180	240	120
SambMas	140	120	180	160	180	180	250	120
Azucena	140	120	180	180	160	180	240	120
WCB	140	120	150	160	160	180	270	120
Curinga	110	120	180	180	180	160	270	100
C105A51	150	120	150	160	180	180	250	120
AC41009	110	120	180	180	180	180	270	120
Niponb	150	120	150	160	180	180	250	120
